INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162089606,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,325,,2016-11-01 23:15:00,2016,11,Tuesday,23,Part Three,HOWARD AVE,42.31468252,-71.07527119,"(42.31468252, -71.07527119)"
I152055100,423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,64,,2015-07-04 02:59:00,2015,7,Saturday,2,Part One,FRUIT ST,42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
I172061723,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,348,,2017-07-29 17:59:00,2017,7,Saturday,17,Part Two,DORCHESTER AVE,42.30426572,-71.05917938,"(42.30426572, -71.05917938)"
I172077020,1402,Vandalism,VANDALISM,E5,682,,2017-09-15 22:50:00,2017,9,Friday,22,Part Two,WALWORTH ST,42.28453015,-71.13751176,"(42.28453015, -71.13751176)"
I182004744,3301,Verbal Disputes,VERBAL DISPUTE,C6,234,,2018-01-18 15:56:00,2018,1,Thursday,15,Part Three,E EIGHTH ST,42.33145284,-71.03686785,"(42.33145284, -71.03686785)"
I182013346,3410,Towed,TOWED MOTOR VEHICLE,D14,774,,2018-02-20 10:35:00,2018,2,Tuesday,10,Part Three,COMMONWEALTH AVE,42.33848236,-71.15288978,"(42.33848236, -71.15288978)"
I162071129,3410,Towed,TOWED MOTOR VEHICLE,A1,80,,2016-09-01 10:47:00,2016,9,Thursday,10,Part Three,HULL ST,42.36700659,-71.05629777,"(42.36700659, -71.05629777)"
I182018576,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,356,,2018-03-11 16:53:00,2018,3,Sunday,16,Part Three,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I162080966,2647,Other,THREATS TO DO BODILY HARM,B2,290,,2016-10-03 16:11:00,2016,10,Monday,16,Part Two,ROXBURY ST,42.33017987,-71.09061217,"(42.33017987, -71.09061217)"
I162063309,3114,Investigate Property,INVESTIGATE PROPERTY,E5,559,,2016-08-07 09:08:00,2016,8,Sunday,9,Part Three,CLIFTONDALE ST,42.28215569,-71.1309155,"(42.28215569, -71.13091550)"
I162100127,3125,Warrant Arrests,WARRANT ARREST,C11,391,,2016-12-08 13:00:00,2016,12,Thursday,13,Part Three,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I182014758,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,629,,2018-02-24 20:00:00,2018,2,Saturday,20,Part One,BEACON ST,42.347497,-71.101763,"(42.34749700, -71.10176300)"
I182001298,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,D14,778,,2018-01-06 08:38:00,2018,1,Saturday,8,Part One,HARVARD AVE,42.35486542,-71.13259322,"(42.35486542, -71.13259322)"
I172062047,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,623,,2017-07-30 21:13:00,2017,7,Sunday,21,Part One,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
I182068034,2632,Evading Fare,EVADING FARE,C11,395,,2018-08-25 01:03:00,2018,8,Saturday,1,Part Two,DORCHESTER AVE,42.28187213,-71.06538326,"(42.28187213, -71.06538326)"
I172058592,3001,Medical Assistance,DEATH INVESTIGATION,D4,161,,2017-07-19 16:44:00,2017,7,Wednesday,16,Part Three,TREMONT ST,42.34701666,-71.06886238,"(42.34701666, -71.06886238)"
I152064745,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,C6,207,,2015-08-05 17:12:00,2015,8,Wednesday,17,Part Three,COURTHOUSE WAY,42.35404844,-71.04639023,"(42.35404844, -71.04639023)"
I152079201,3301,Verbal Disputes,VERBAL DISPUTE,E18,481,,2015-09-23 10:50:00,2015,9,Wednesday,10,Part Three,HOLLINGSWORTH ST,42.26809427,-71.0990997,"(42.26809427, -71.09909970)"
I182003609,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,903,Y,2018-01-14 10:57:00,2018,1,Sunday,10,Part One,SHAWMUT AVE,42.33543394,-71.08076738,"(42.33543394, -71.08076738)"
I172074149,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11, ,,2017-09-07 12:05:00,2017,9,Thursday,12,Part Three,RIVER ST,,,"(0.00000000, 0.00000000)"
I172083555,2403,Disorderly Conduct,DISTURBING THE PEACE,B2,605,,2017-10-07 01:01:00,2017,10,Saturday,1,Part Two,STOCKWELL ST,42.33203421,-71.10688839,"(42.33203421, -71.10688839)"
I172049169,3301,Verbal Disputes,VERBAL DISPUTE,E18,480,,2017-06-19 19:23:00,2017,6,Monday,19,Part Three,BISMARCK ST,42.26983458,-71.10003437,"(42.26983458, -71.10003437)"
I162042982,1107,Fraud,FRAUD - IMPERSONATION,A1,63,,2016-06-01 06:59:00,2016,6,Wednesday,6,Part Two,MARTHA RD,42.36580175,-71.06538257,"(42.36580175, -71.06538257)"
I162015764,3301,Verbal Disputes,VERBAL DISPUTE,C11,462,,2016-02-28 09:18:00,2016,2,Sunday,9,Part Three,FERNBORO ST,42.31129587,-71.07728269,"(42.31129587, -71.07728269)"
I162063500,616,Larceny,LARCENY THEFT OF BICYCLE,B2,316,,2016-08-07 18:28:00,2016,8,Sunday,18,Part One,WALNUT AVE,42.31681126,-71.09283155,"(42.31681126, -71.09283155)"
I162003558,1874,Drug Violation,DRUGS - OTHER,C11, ,,2016-01-13 20:06:00,2016,1,Wednesday,20,Part Two,,,,"(0.00000000, 0.00000000)"
I182060021,617,Larceny,LARCENY THEFT FROM BUILDING,A1,77,,2018-07-30 03:14:00,2018,7,Monday,3,Part One,BOWKER ST,42.36242887,-71.06054873,"(42.36242887, -71.06054873)"
I162068469,3115,Investigate Person,INVESTIGATE PERSON,A15,900,,2016-08-23 16:37:00,2016,8,Tuesday,16,Part Three,WALFORD WAY,42.37840325,-71.05729035,"(42.37840325, -71.05729035)"
I172024147,611,Larceny,LARCENY PICK-POCKET,D4,620,,2017-03-28 16:45:00,2017,3,Tuesday,16,Part One,MASSACHUSETTS AVE,42.3465558,-71.08737452,"(42.34655580, -71.08737452)"
I172020419,3125,Warrant Arrests,WARRANT ARREST,D14,804,,2017-03-15 20:21:00,2017,3,Wednesday,20,Part Three,EVERETT ST,42.35595391,-71.13852468,"(42.35595391, -71.13852468)"
I162002531,617,Larceny,LARCENY THEFT FROM BUILDING,B3,472,,2016-01-09 21:11:00,2016,1,Saturday,21,Part One,BLUE HILL AVE,42.27386225,-71.09369539,"(42.27386225, -71.09369539)"
I172088338,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,428,,2017-10-22 17:37:00,2017,10,Sunday,17,Part One,MORTON ST,42.28187061,-71.08751152,"(42.28187061, -71.08751152)"
I172092475,3410,Towed,TOWED MOTOR VEHICLE,D14,794,,2017-11-05 01:09:00,2017,11,Sunday,1,Part Three,ALLSTON ST,42.35127685,-71.13587892,"(42.35127685, -71.13587892)"
I162017549,3410,Towed,TOWED MOTOR VEHICLE,E13,578,,2016-03-05 20:30:00,2016,3,Saturday,20,Part Three,FORBES ST,42.3211829,-71.1068278,"(42.32118290, -71.10682780)"
I152094104,3301,Verbal Disputes,VERBAL DISPUTE,B2,263,,2015-11-12 20:05:00,2015,11,Thursday,20,Part Three,DUDLEY ST,42.32435506,-71.07440305,"(42.32435506, -71.07440305)"
I162086812,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,289,,2016-10-23 10:21:00,2016,10,Sunday,10,Part Three,MALCOLM X BLVD,42.33123776,-71.09140736,"(42.33123776, -71.09140736)"
I152061607,617,Larceny,LARCENY THEFT FROM BUILDING,C6,194,,2015-07-25 18:52:00,2015,7,Saturday,18,Part One,DORCHESTER AVE,42.32971683,-71.05696834,"(42.32971683, -71.05696834)"
I152077696,1845,Drug Violation,DRUGS - POSS CLASS D,B2, ,,2015-09-18 14:48:00,2015,9,Friday,14,Part Two,BIRD ST,,,"(0.00000000, 0.00000000)"
I172007136,617,Larceny,LARCENY THEFT FROM BUILDING,E18,540,,2017-01-26 22:31:00,2017,1,Thursday,22,Part One,ROXANA ST,42.25167017,-71.13126043,"(42.25167017, -71.13126043)"
I172032500,3301,Verbal Disputes,VERBAL DISPUTE,B2,329,,2017-04-26 15:14:00,2017,4,Wednesday,15,Part Three,STANWOOD ST,42.30762176,-71.07752554,"(42.30762176, -71.07752554)"
I172083126,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,550,,2017-10-05 17:10:00,2017,10,Thursday,17,Part Three,HIGHCREST TER,42.27417161,-71.13745025,"(42.27417161, -71.13745025)"
I152093517,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2015-11-10 17:48:00,2015,11,Tuesday,17,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.07412780)"
I162011959,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,288,,2016-02-14 15:30:00,2016,2,Sunday,15,Part One,WASHINGTON ST,42.32925905,-71.08482402,"(42.32925905, -71.08482402)"
I182048011,3207,Property Found,PROPERTY - FOUND,D4,627,,2018-06-19 21:16:00,2018,6,Tuesday,21,Part Three,BOYLSTON ST,42.34442266,-71.09833083,"(42.34442266, -71.09833083)"
I152065304,3125,Warrant Arrests,WARRANT ARREST,E5,559,,2015-08-07 13:50:00,2015,8,Friday,13,Part Three,,,,"(0.00000000, 0.00000000)"
I162070597,3125,Warrant Arrests,WARRANT ARREST,C6,222,,2016-08-30 17:10:00,2016,8,Tuesday,17,Part Three,E SECOND ST,42.33724328,-71.03996111,"(42.33724328, -71.03996111)"
I152054433,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,366,,2015-06-27 19:00:00,2015,6,Saturday,19,Part Three,EDWIN ST,42.28890049,-71.06266918,"(42.28890049, -71.06266918)"
I172091202,2610,Other,TRESPASSING,C6,200,,2017-10-31 20:58:00,2017,10,Tuesday,20,Part Two,W THIRD ST,42.34225675,-71.05405876,"(42.34225675, -71.05405876)"
I172008524,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,259,,2017-01-31 17:43:00,2017,1,Tuesday,17,Part Two,QUINCY ST,42.31210601,-71.07256779,"(42.31210601, -71.07256779)"
I152104345,1402,Vandalism,VANDALISM,A1,109,,2015-12-17 23:00:00,2015,12,Thursday,23,Part Two,FRANKLIN ST,42.35706352,-71.05308003,"(42.35706352, -71.05308003)"
I162035286,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,311,,2016-05-06 17:19:00,2016,5,Friday,17,Part One,QUINCY ST,42.31528744,-71.08015967,"(42.31528744, -71.08015967)"
I172008314,1402,Vandalism,VANDALISM,E13,582,,2017-01-30 19:19:00,2017,1,Monday,19,Part Two,CREIGHTON ST,42.32348445,-71.10813006,"(42.32348445, -71.10813006)"
I152097661,3301,Verbal Disputes,VERBAL DISPUTE,C6,915,,2015-11-25 07:59:00,2015,11,Wednesday,7,Part Three,E NINTH ST,42.33214285,-71.05121359,"(42.33214285, -71.05121359)"
I182001756,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1, ,,2018-01-08 08:00:00,2018,1,Monday,8,Part Two,CHARLES ST,42.36251648,-71.0706685,"(42.36251648, -71.07066850)"
I162082424,1402,Vandalism,VANDALISM,C6,194,,2016-10-06 07:45:00,2016,10,Thursday,7,Part Two,LEEDS ST,42.33052378,-71.0562433,"(42.33052378, -71.05624330)"
I152082481,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5, ,,2015-10-04 11:58:00,2015,10,Sunday,11,Part Three,,,,"(0.00000000, 0.00000000)"
I152102234,3125,Warrant Arrests,WARRANT ARREST,C11,348,,2015-12-11 09:38:00,2015,12,Friday,9,Part Three,DORCHESTER AVE,42.30420472,-71.05919227,"(42.30420472, -71.05919227)"
I152024515-00,3125,Warrant Arrests,WARRANT ARREST,E18,543,,2015-11-05 00:00:00,2015,11,Thursday,0,Part Three,GORDON AVE,42.25767996,-71.12740973,"(42.25767996, -71.12740973)"
I182042439,3115,Investigate Person,INVESTIGATE PERSON,C11,355,,2018-06-01 19:00:00,2018,6,Friday,19,Part Three,PARK ST,42.29920158,-71.05853601,"(42.29920158, -71.05853601)"
I152058678,3301,Verbal Disputes,VERBAL DISPUTE,C11,345,,2015-07-15 23:30:00,2015,7,Wednesday,23,Part Three,CORWIN ST,42.30196897,-71.06210064,"(42.30196897, -71.06210064)"
I172092966,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,119,,2017-11-06 17:30:00,2017,11,Monday,17,Part Two,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
I182035698,3301,Verbal Disputes,VERBAL DISPUTE,E5,712,,2018-05-11 07:22:00,2018,5,Friday,7,Part Three,GROVE ST,42.26523483,-71.15843028,"(42.26523483, -71.15843028)"
I172055964,301,Robbery,ROBBERY - STREET,A1,101,,2017-07-11 09:56:00,2017,7,Tuesday,9,Part One,INDIA ST,42.35847666,-71.05324087,"(42.35847666, -71.05324087)"
I172059621,1402,Vandalism,VANDALISM,C6,197,,2017-07-22 21:29:00,2017,7,Saturday,21,Part Two,D ST,42.33573052,-71.05448907,"(42.33573052, -71.05448907)"
I172005202,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,130,,2017-01-18 18:45:00,2017,1,Wednesday,18,Part Three,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I172098273,617,Larceny,LARCENY THEFT FROM BUILDING,C6,227,,2017-11-25 14:00:00,2017,11,Saturday,14,Part One,E BROADWAY,42.33568411,-71.03231905,"(42.33568411, -71.03231905)"
I172042347,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,618,,2017-05-28 20:00:00,2017,5,Sunday,20,Part Two,HUNTINGTON AVE,42.34091586,-71.08771531,"(42.34091586, -71.08771531)"
I152094898,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E18,487,,2015-11-15 14:16:00,2015,11,Sunday,14,Part One,ROSEMONT ST,42.26500784,-71.10472372,"(42.26500784, -71.10472372)"
I182022506,2646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,C11,355,,2018-03-26 13:30:00,2018,3,Monday,13,Part Two,DORCHESTER AVE,42.29721224,-71.06104499,"(42.29721224, -71.06104499)"
I182006191,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,B2,313,,2018-01-24 09:36:00,2018,1,Wednesday,9,Part Three,HOLBORN ST,42.3153083,-71.08333147,"(42.31530830, -71.08333147)"
I162083148,3410,Towed,TOWED MOTOR VEHICLE,E5,564,,2016-10-10 21:37:00,2016,10,Monday,21,Part Three,WASHINGTON ST,42.29492396,-71.11910662,"(42.29492396, -71.11910662)"
I162041251,1832,Drug Violation,DRUGS - SICK ASSIST - OTHER HARMFUL DRUG,E13,644,,2016-05-26 16:31:00,2016,5,Thursday,16,Part Two,ORCHARD ST,42.31198261,-71.12050835,"(42.31198261, -71.12050835)"
I172095922,1402,Vandalism,VANDALISM,C6,177,,2017-11-14 16:00:00,2017,11,Tuesday,16,Part Two,MASSACHUSETTS AVE,42.32701527,-71.0670491,"(42.32701527, -71.06704910)"
I162104299,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,280,,2016-12-23 03:18:00,2016,12,Friday,3,Part Two,DUDLEY ST,42.32872589,-71.08382217,"(42.32872589, -71.08382217)"
I162022509,619,Larceny,LARCENY ALL OTHERS,D4,166,,2016-03-16 18:10:00,2016,3,Wednesday,18,Part One,UNION PARK ST,42.34174227,-71.07011004,"(42.34174227, -71.07011004)"
I182045991,616,Larceny,LARCENY THEFT OF BICYCLE,C11,352,,2018-06-13 17:51:00,2018,6,Wednesday,17,Part One,CHARLES ST,42.30060543,-71.06126785,"(42.30060543, -71.06126785)"
I182064061,3115,Investigate Person,INVESTIGATE PERSON,D4,591,,2018-08-12 00:42:00,2018,8,Sunday,0,Part Three,HEMENWAY ST,42.34587157,-71.08938851,"(42.34587157, -71.08938851)"
I162048891,2005,Offenses Against Child / Family,CHILD ENDANGERMENT,B3,459,,2016-06-20 12:46:00,2016,6,Monday,12,Part Two,POWELLTON RD,42.3045083,-71.08075871,"(42.30450830, -71.08075871)"
I182060691,619,Larceny,LARCENY ALL OTHERS,E13,579,,2018-07-27 11:00:00,2018,7,Friday,11,Part One,CENTRE ST,42.32287413,-71.10155354,"(42.32287413, -71.10155354)"
I172063996,3301,Verbal Disputes,VERBAL DISPUTE,B2,259,,2017-08-05 14:02:00,2017,8,Saturday,14,Part Three,MAGNOLIA ST,42.31478432,-71.07160997,"(42.31478432, -71.07160997)"
I172000870,3301,Verbal Disputes,VERBAL DISPUTE,E18,542,,2017-01-04 11:44:00,2017,1,Wednesday,11,Part Three,RIVER ST,42.25477484,-71.12838562,"(42.25477484, -71.12838562)"
I162095185,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,951,,2016-11-21 05:28:00,2016,11,Monday,5,Part Three,RIVER ST,42.26361745,-71.10237387,"(42.26361745, -71.10237387)"
I162073140,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,A1,95,,2016-07-02 11:36:00,2016,7,Saturday,11,Part One,ATLANTIC AVE,42.35746445,-71.05098164,"(42.35746445, -71.05098164)"
I172045251,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,E13, ,,2017-06-07 17:21:00,2017,6,Wednesday,17,Part Three,,42.32610989,-71.10461123,"(42.32610989, -71.10461123)"
I172027887,3114,Investigate Property,INVESTIGATE PROPERTY,A1,61,,2017-04-10 16:24:00,2017,4,Monday,16,Part Three,FLEET CENTER PL,42.36646326,-71.06067801,"(42.36646326, -71.06067801)"
I162038570,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,418,,2016-05-17 17:55:00,2016,5,Tuesday,17,Part Three,SELDEN ST,42.28089366,-71.08037468,"(42.28089366, -71.08037468)"
I182038846,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,D14,807,,2018-05-20 21:25:00,2018,5,Sunday,21,Part Two,TELFORD ST,42.36227866,-71.13742722,"(42.36227866, -71.13742722)"
I182053943,3125,Warrant Arrests,WARRANT ARREST,A1,77,,2018-07-09 16:11:00,2018,7,Monday,16,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182022058,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,186,,2018-03-24 18:25:00,2018,3,Saturday,18,Part Three,ALLSTATE RD,,,"(0.00000000, 0.00000000)"
I152097789,351,Robbery,ROBBERY - BANK,A7,22,,2015-11-25 14:50:00,2015,11,Wednesday,14,Part One,BENNINGTON ST,42.37546983,-71.03730221,"(42.37546983, -71.03730221)"
I182004927,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D4,150,,2018-01-19 11:09:00,2018,1,Friday,11,Part Two,CHANDLER ST,42.34615178,-71.07404347,"(42.34615178, -71.07404347)"
I182019045,3410,Towed,TOWED MOTOR VEHICLE,C11,335,,2018-03-13 10:59:00,2018,3,Tuesday,10,Part Three,BOWDOIN ST,42.30703835,-71.06615319,"(42.30703835, -71.06615319)"
I162079613,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,311,,2016-09-29 02:49:00,2016,9,Thursday,2,Part One,MAYWOOD ST,42.31679542,-71.07964562,"(42.31679542, -71.07964562)"
I172080249,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,159,,2017-09-26 11:42:00,2017,9,Tuesday,11,Part One,WALTHAM ST,42.34345486,-71.07091946,"(42.34345486, -71.07091946)"
I162036152,1402,Vandalism,VANDALISM,B3,908,,2016-05-09 08:30:00,2016,5,Monday,8,Part Two,AMERICAN LEGION HWY,42.29639579,-71.09182248,"(42.29639579, -71.09182248)"
I182005127,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,63,,2018-01-20 01:58:00,2018,1,Saturday,1,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182051826,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,239,,2018-07-02 08:59:00,2018,7,Monday,8,Part Two,COLUMBIA RD,42.31748189,-71.06450704,"(42.31748189, -71.06450704)"
I162022158,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,E13,652,,2016-03-22 05:41:00,2016,3,Tuesday,5,Part Three,SOUTH ST,42.300996,-71.114609,"(42.30099600, -71.11460900)"
I172019259,423,Aggravated Assault,ASSAULT - AGGRAVATED,E5,563,,2017-03-11 08:13:00,2017,3,Saturday,8,Part One,WASHINGTON ST,42.28915799,-71.12522353,"(42.28915799, -71.12522353)"
I162045674,3501,Missing Person Reported,MISSING PERSON,D4,146,,2016-06-09 21:16:00,2016,6,Thursday,21,Part Three,FOLLEN ST,42.34508761,-71.07985732,"(42.34508761, -71.07985732)"
I152070943,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,C11,235,,2015-08-26 22:35:00,2015,8,Wednesday,22,Part One,CARSON ST,42.3197573,-71.05428941,"(42.31975730, -71.05428941)"
I162103340,613,Larceny,LARCENY SHOPLIFTING,B3,427,,2016-12-19 18:08:00,2016,12,Monday,18,Part One,BLUE HILL AVE,42.27653731,-71.0933951,"(42.27653731, -71.09339510)"
I182056962,361,Robbery,ROBBERY - OTHER,E13,906,,2018-07-19 20:21:00,2018,7,Thursday,20,Part One,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I182013825,2629,Harassment,HARASSMENT,B3,417,,2018-02-21 14:00:00,2018,2,Wednesday,14,Part Two,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
I162080271,2403,Disorderly Conduct,DISTURBING THE PEACE,B3,457,,2016-10-01 01:45:00,2016,10,Saturday,1,Part Two,MCLELLAN ST,42.30006791,-71.08430796,"(42.30006791, -71.08430796)"
I172017662,613,Larceny,LARCENY SHOPLIFTING,A15,105,,2017-03-05 16:22:00,2017,3,Sunday,16,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)"
I162010573,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3, ,,2016-02-09 00:36:00,2016,2,Tuesday,0,Part Two,,,,"(0.00000000, 0.00000000)"
I152063090,3111,License Violation,LICENSE PREMISE VIOLATION,E13,608,,2015-07-30 23:50:00,2015,7,Thursday,23,Part Three,S HUNTINGTON AVE,42.33136931,-71.11185116,"(42.33136931, -71.11185116)"
I172102421,3115,Investigate Person,INVESTIGATE PERSON,A1,167,,2017-12-10 17:55:00,2017,12,Sunday,17,Part Three,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I172097041,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,959,,2017-11-21 02:02:00,2017,11,Tuesday,2,Part Three,DORCHESTER AVE,42.28624029,-71.06416775,"(42.28624029, -71.06416775)"
I152068040,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,120,,2015-08-09 19:00:00,2015,8,Sunday,19,Part Three,PARK PLZ,42.35162789,-71.0686641,"(42.35162789, -71.06866410)"
I172005051,311,Robbery,ROBBERY - COMMERCIAL,E13,606,,2017-01-19 18:43:00,2017,1,Thursday,18,Part One,S HUNTINGTON AVE,42.33136931,-71.11185116,"(42.33136931, -71.11185116)"
I152094464,3410,Towed,TOWED MOTOR VEHICLE,D14,773,,2015-11-13 23:55:00,2015,11,Friday,23,Part Three,EMBASSY RD,42.34194178,-71.15562557,"(42.34194178, -71.15562557)"
I152080938,3301,Verbal Disputes,VERBAL DISPUTE,B2,296,,2015-09-28 22:41:00,2015,9,Monday,22,Part Three,WARREN ST,42.32221645,-71.08206723,"(42.32221645, -71.08206723)"
I182016670,1402,Vandalism,VANDALISM,A1,73,,2018-03-01 20:00:00,2018,3,Thursday,20,Part Two,CENTER PLZ,42.35988372,-71.06016189,"(42.35988372, -71.06016189)"
I162066296,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,81,,2016-08-10 10:00:00,2016,8,Wednesday,10,Part Three,SNOW HILL ST,42.36742263,-71.05645717,"(42.36742263, -71.05645717)"
I172074190,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,178,,2017-09-07 15:50:00,2017,9,Thursday,15,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I162068455,616,Larceny,LARCENY THEFT OF BICYCLE,A1,173,,2016-08-23 15:49:00,2016,8,Tuesday,15,Part One,SUMMER ST,42.35196671,-71.05415459,"(42.35196671, -71.05415459)"
I162042886,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,105,,2016-05-31 21:30:00,2016,5,Tuesday,21,Part Two,FRUIT ST,42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
I162078457,3115,Investigate Person,INVESTIGATE PERSON,D4,594,,2016-09-25 09:29:00,2016,9,Sunday,9,Part Three,MASSACHUSETTS AVE,42.34186952,-71.0837219,"(42.34186952, -71.08372190)"
I162031759,1107,Fraud,FRAUD - IMPERSONATION,A1,114,,2016-04-12 00:00:00,2016,4,Tuesday,0,Part Two,ATLANTIC AVE,42.35438252,-71.05213281,"(42.35438252, -71.05213281)"
I182009314,613,Larceny,LARCENY SHOPLIFTING,D4,168,,2018-02-04 21:24:00,2018,2,Sunday,21,Part One,WASHINGTON ST,42.33816387,-71.07461217,"(42.33816387, -71.07461217)"
I182045710,3114,Investigate Property,INVESTIGATE PROPERTY,A7,26,,2018-06-12 19:41:00,2018,6,Tuesday,19,Part Three,MAVERICK ST,42.37117208,-71.04127485,"(42.37117208, -71.04127485)"
I182003125,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,765,,2018-01-12 14:56:00,2018,1,Friday,14,Part Two,FANEUIL ST,42.35368829,-71.15878559,"(42.35368829, -71.15878559)"
I162090589,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,585,,2016-11-04 23:09:00,2016,11,Friday,23,Part Two,PARKER HILL AVE,42.32947458,-71.10442024,"(42.32947458, -71.10442024)"
I172038753,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4, ,,2017-05-17 10:00:00,2017,5,Wednesday,10,Part One,ALBANY ST,,,"(0.00000000, 0.00000000)"
I162046022,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,913,,2016-06-11 01:04:00,2016,6,Saturday,1,Part Two,MOUNT VERNON ST,42.31931497,-71.04631265,"(42.31931497, -71.04631265)"
I172025397,3130,Search Warrants,SEARCH WARRANT,B2,324,,2017-04-01 22:25:00,2017,4,Saturday,22,Part Three,DEVON ST,42.30812619,-71.07692974,"(42.30812619, -71.07692974)"
I152060921,3115,Investigate Person,INVESTIGATE PERSON,A1,113,,2015-07-23 16:21:00,2015,7,Thursday,16,Part Three,BEDFORD ST,42.35335427,-71.05986564,"(42.35335427, -71.05986564)"
I172045282,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,328,,2017-06-07 18:25:00,2017,6,Wednesday,18,Part Three,LAWRENCE AVE,42.31077758,-71.07480891,"(42.31077758, -71.07480891)"
