INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I152078059,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A15,38,,2015-09-19 16:22:00,2015,9,Saturday,16,Part Three,FIRST AVE,42.37749764,-71.05031219,"(42.37749764, -71.05031219)"
I152074613,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,388,,2015-09-08 14:56:00,2015,9,Tuesday,14,Part Three,BROOKVALE ST,42.27904621,-71.06522668,"(42.27904621, -71.06522668)"
I172073481,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,293,,2017-09-05 08:30:00,2017,9,Tuesday,8,Part Three,LAMBERT AVE,42.32661682,-71.09098572,"(42.32661682, -71.09098572)"
I172025671,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,954,,2017-04-02 21:37:00,2017,4,Sunday,21,Part Three,FULTON ST,42.36293611,-71.05253795,"(42.36293611, -71.05253795)"
I162020048,3301,Verbal Disputes,VERBAL DISPUTE,E13,906,,2016-03-14 18:54:00,2016,3,Monday,18,Part Three,WALDEN ST,42.32561013,-71.10449956,"(42.32561013, -71.10449956)"
I162019495,613,Larceny,LARCENY SHOPLIFTING,C6,200,,2016-03-12 22:10:00,2016,3,Saturday,22,Part One,W BROADWAY,42.34234193,-71.05633276,"(42.34234193, -71.05633276)"
I172051587,3115,Investigate Person,INVESTIGATE PERSON,B2,315,,2017-06-27 09:24:00,2017,6,Tuesday,9,Part Three,CRAWFORD ST,42.31326606,-71.08939926,"(42.31326606, -71.08939926)"
I162019026,1001,Counterfeiting,FORGERY / COUNTERFEITING,C11,250,,2016-01-11 09:00:00,2016,1,Monday,9,Part Two,SAVIN HILL AVE,42.31248165,-71.04829028,"(42.31248165, -71.04829028)"
I162082495,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,908,,2016-10-08 14:10:00,2016,10,Saturday,14,Part One,FRANKLIN HILL AVE,42.29558507,-71.09158038,"(42.29558507, -71.09158038)"
I172025733,3115,Investigate Person,INVESTIGATE PERSON,C11,372,,2017-03-19 18:00:00,2017,3,Sunday,18,Part Three,WALNUT ST,42.28791697,-71.04001774,"(42.28791697, -71.04001774)"
I172056265,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,B2,239,,2017-07-12 07:49:00,2017,7,Wednesday,7,Part Three,COLUMBIA RD,42.31705299,-71.06521384,"(42.31705299, -71.06521384)"
I182055771,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,345,,2018-07-15 18:55:00,2018,7,Sunday,18,Part Two,DRAPER ST,42.30358612,-71.06437082,"(42.30358612, -71.06437082)"
I152072025,616,Larceny,LARCENY THEFT OF BICYCLE,D14,775,,2015-08-30 13:01:00,2015,8,Sunday,13,Part One,WALLINGFORD RD,42.34134946,-71.15122795,"(42.34134946, -71.15122795)"
I172037556,2629,Harassment,HARASSMENT,B2,320,,2017-05-12 14:40:00,2017,5,Friday,14,Part Two,MAPLE ST,42.30978746,-71.08503096,"(42.30978746, -71.08503096)"
I162091247,2101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,B2,901,,2016-11-07 12:15:00,2016,11,Monday,12,Part Two,HORADAN WAY,42.3334635,-71.09594671,"(42.33346350, -71.09594671)"
I172038517,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B3, ,,2017-05-16 16:23:00,2017,5,Tuesday,16,Part Three,CUMMINS HWY,,,"(0.00000000, 0.00000000)"
I182004369,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,B2,264,,2018-01-17 08:59:00,2018,1,Wednesday,8,Part Three,BLUE HILL AVE,42.31956879,-71.07776264,"(42.31956879, -71.07776264)"
