INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,SHOOTING_FLAG,Lat_Clean,Long_Clean,Lat_Missing_Flag,Long_Missing_Flag,TIME_OF_DAY,IS_WEEKEND,CRIME_SEVERITY,SEASON,QUARTER,DAY_NUMBER,OFFENSE_CATEGORY,HIGH_RISK_HOUR,DISTRICT_Index,TIME_OF_DAY_Index,SEASON_Index,OFFENSE_CATEGORY_Index,UCR_PART_Index
I162081331,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,C6,"",,2016-10-04T17:50:00.000-04:00,2016,10,Tuesday,17,Part Two,UNKNOWN,,,0,42.18246397604247,-70.85870749757449,1,1,Evening,0,2,Fall,4,2,Other,0,5.0,1.0,2.0,0.0,1.0
I162035602,617,Larceny,LARCENY THEFT FROM BUILDING,D4,130,,2016-05-07T18:09:00.000-04:00,2016,5,Saturday,18,Part One,BOYLSTON ST,42.34980175,-71.07840978,0,42.34980175,-71.07840978,0,0,Evening,1,3,Spring,2,6,Property,0,3.0,1.0,1.0,1.0,2.0
I162014513,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,466,,2016-02-23T22:08:00.000-05:00,2016,2,Tuesday,22,Part Three,DEERING RD,42.28414025,-71.09305138,0,42.28414025,-71.09305138,0,0,Night,0,1,Winter,1,2,Other,1,2.0,0.0,3.0,0.0,0.0
I182038664,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,77,,2018-05-21T11:55:00.000-04:00,2018,5,Monday,11,Part Three,CONGRESS ST,42.36139413,-71.0576869,0,42.36139413,-71.0576869,0,0,Morning,0,1,Spring,2,1,Other,0,4.0,3.0,1.0,0.0,0.0
I182022058,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,186,,2018-03-24T18:25:00.000-04:00,2018,3,Saturday,18,Part Three,ALLSTATE RD,,,0,42.18246397604247,-70.85870749757449,1,1,Evening,1,1,Spring,1,6,Traffic,0,5.0,1.0,1.0,2.0,0.0
I172067582,617,Larceny,LARCENY THEFT FROM BUILDING,D4,133,,2017-08-16T19:38:00.000-04:00,2017,8,Wednesday,19,Part One,NEWBURY ST,42.35118005,-71.07666607,0,42.35118005,-71.07666607,0,0,Evening,0,3,Summer,3,3,Property,0,3.0,1.0,0.0,1.0,2.0
I162005612,3201,Property Lost,PROPERTY - LOST,C6,175,,2016-01-20T15:30:00.000-05:00,2016,1,Wednesday,15,Part Three,SOUTHAMPTON ST,42.3309164,-71.06415106,0,42.3309164,-71.06415106,0,0,Afternoon,0,1,Winter,1,3,Other,0,5.0,2.0,3.0,0.0,0.0
I182012165,619,Larceny,LARCENY ALL OTHERS,A7,20,,2018-02-15T14:57:00.000-05:00,2018,2,Thursday,14,Part One,CHELSEA ST,42.37638326,-71.03124103,0,42.37638326,-71.03124103,0,0,Afternoon,0,3,Winter,1,4,Property,0,10.0,2.0,3.0,1.0,2.0
I162104253,3301,Verbal Disputes,VERBAL DISPUTE,C11,379,,2016-12-22T21:07:00.000-05:00,2016,12,Thursday,21,Part Three,ADAMS ST,42.28397463,-71.05553564,0,42.28397463,-71.05553564,0,0,Night,0,1,Winter,4,4,Other,0,1.0,0.0,3.0,0.0,0.0
I172088627,3125,Warrant Arrests,WARRANT ARREST,A15,56,,2017-10-23T18:00:00.000-04:00,2017,10,Monday,18,Part Three,GREEN ST,42.37829905,-71.0621081,0,42.37829905,-71.0621081,0,0,Evening,0,1,Fall,4,1,Other,0,11.0,1.0,2.0,0.0,0.0
I182007073,3410,Towed,TOWED MOTOR VEHICLE,A1,87,,2018-01-27T11:43:00.000-05:00,2018,1,Saturday,11,Part Three,NORTH ST,42.36559712,-71.05162615,0,42.36559712,-71.05162615,0,0,Morning,1,1,Winter,1,6,Other,0,4.0,3.0,3.0,0.0,0.0
I162080966,2647,Other,THREATS TO DO BODILY HARM,B2,290,,2016-10-03T16:11:00.000-04:00,2016,10,Monday,16,Part Two,ROXBURY ST,42.33017987,-71.09061217,0,42.33017987,-71.09061217,0,0,Afternoon,0,2,Fall,4,1,Other,0,0.0,2.0,2.0,0.0,1.0
I152097789,351,Robbery,ROBBERY - BANK,A7,22,,2015-11-25T14:50:00.000-05:00,2015,11,Wednesday,14,Part One,BENNINGTON ST,42.37546983,-71.03730221,0,42.37546983,-71.03730221,0,0,Afternoon,0,3,Fall,4,3,Violent,0,10.0,2.0,2.0,3.0,2.0
I162066296,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,81,,2016-08-10T10:00:00.000-04:00,2016,8,Wednesday,10,Part Three,SNOW HILL ST,42.36742263,-71.05645717,0,42.36742263,-71.05645717,0,0,Morning,0,1,Summer,3,3,Traffic,0,4.0,3.0,0.0,2.0,0.0
I162033553,3301,Verbal Disputes,VERBAL DISPUTE,E18,522,,2016-04-30T16:33:00.000-04:00,2016,4,Saturday,16,Part Three,WILTON ST,42.24891703,-71.12588341,0,42.24891703,-71.12588341,0,0,Afternoon,1,1,Spring,2,6,Other,0,7.0,2.0,1.0,0.0,0.0
I162030633,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,355,,2016-04-20T15:03:00.000-04:00,2016,4,Wednesday,15,Part Two,PARKMAN ST,42.29709649,-71.05734054,0,42.29709649,-71.05734054,0,0,Afternoon,0,2,Spring,2,3,Other,0,1.0,2.0,1.0,0.0,1.0
I152073060,1402,Vandalism,VANDALISM,A7,10,,2015-09-02T19:52:00.000-04:00,2015,9,Wednesday,19,Part Two,BOARDMAN ST,42.38817033,-71.00939544,0,42.38817033,-71.00939544,0,0,Evening,0,2,Fall,3,3,Property,0,10.0,1.0,2.0,1.0,1.0
I162013501,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E5,551,,2016-02-19T16:54:00.000-05:00,2016,2,Friday,16,Part Three,GLENDOWER RD,42.27562519,-71.13142204,0,42.27562519,-71.13142204,0,0,Afternoon,0,1,Winter,1,5,Other,0,9.0,2.0,3.0,0.0,0.0
I172083903,1402,Vandalism,VANDALISM,A1,111,,2017-10-08T07:12:00.000-04:00,2017,10,Sunday,7,Part Two,WINTER ST,42.35602373,-71.06177615,0,42.35602373,-71.06177615,0,0,Morning,1,2,Fall,4,7,Property,0,4.0,3.0,2.0,1.0,1.0
I182042439,3115,Investigate Person,INVESTIGATE PERSON,C11,355,,2018-06-01T19:00:00.000-04:00,2018,6,Friday,19,Part Three,PARK ST,42.29920158,-71.05853601,0,42.29920158,-71.05853601,0,0,Evening,0,1,Summer,2,5,Other,0,1.0,1.0,0.0,0.0,0.0
I152107541,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,333,,2015-12-30T15:58:00.000-05:00,2015,12,Wednesday,15,Part Three,MOUNT EVERETT ST,42.31013569,-71.0702931,0,42.31013569,-71.0702931,0,0,Afternoon,0,1,Winter,4,3,Other,0,1.0,2.0,3.0,0.0,0.0
I152090378,2906,Violations,VAL - OPERATING UNREG/UNINS  CAR,D4,144,,2015-10-31T16:56:00.000-04:00,2015,10,Saturday,16,Part Two,MASSACHUSETTS AVE,42.34335843,-71.08576891,0,42.34335843,-71.08576891,0,0,Afternoon,1,2,Fall,4,6,Other,0,3.0,2.0,2.0,0.0,1.0
I182048413,613,Larceny,LARCENY SHOPLIFTING,D14,763,,2018-06-21T08:57:00.000-04:00,2018,6,Thursday,8,Part One,WASHINGTON ST,42.34910076,-71.1561239,0,42.34910076,-71.1561239,0,0,Morning,0,3,Summer,2,4,Property,0,8.0,3.0,0.0,1.0,2.0
I162102934,1402,Vandalism,VANDALISM,E18,499,,2016-12-17T19:30:00.000-05:00,2016,12,Saturday,19,Part Two,AMERICAN LEGION HWY,42.27810693,-71.11636523,0,42.27810693,-71.11636523,0,0,Evening,1,2,Winter,4,6,Property,0,7.0,1.0,3.0,1.0,1.0
I152079201,3301,Verbal Disputes,VERBAL DISPUTE,E18,481,,2015-09-23T10:50:00.000-04:00,2015,9,Wednesday,10,Part Three,HOLLINGSWORTH ST,42.26809427,-71.0990997,0,42.26809427,-71.0990997,0,0,Morning,0,1,Fall,3,3,Other,0,7.0,3.0,2.0,0.0,0.0
I152082481,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,"",,2015-10-04T11:58:00.000-04:00,2015,10,Sunday,11,Part Three,UNKNOWN,,,0,42.18246397604247,-70.85870749757449,1,1,Morning,1,1,Fall,4,7,Traffic,0,9.0,3.0,2.0,2.0,0.0
I182049240,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,318,,2018-06-23T22:36:00.000-04:00,2018,6,Saturday,22,Part Three,HUTCHINGS ST,42.31026891,-71.08931055,0,42.31026891,-71.08931055,0,0,Night,1,1,Summer,2,6,Traffic,1,0.0,0.0,0.0,2.0,0.0
I162046706,1402,Vandalism,VANDALISM,B3,439,,2016-06-13T14:43:00.000-04:00,2016,6,Monday,14,Part Two,AMES WAY,42.28965805,-71.08634397,0,42.28965805,-71.08634397,0,0,Afternoon,0,2,Summer,2,1,Property,0,2.0,2.0,0.0,1.0,1.0
I162044709,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,455,,2016-06-07T01:58:00.000-04:00,2016,6,Tuesday,1,Part Two,NORWELL ST,42.30027796,-71.07883962,0,42.30027796,-71.07883962,0,0,Night,0,2,Summer,2,2,Other,1,2.0,0.0,0.0,0.0,1.0
I182026831,1402,Vandalism,VANDALISM,B2,326,,2018-04-10T18:41:00.000-04:00,2018,4,Tuesday,18,Part Two,QUINCY ST,42.31332153,-71.07591511,0,42.31332153,-71.07591511,0,0,Evening,0,2,Spring,2,2,Property,0,0.0,1.0,1.0,1.0,1.0
